,Crop2014,Acres,FID,County,PPIC_Regio,Crop_PPIC,Price,Rotations,AdjustedPr,FieldCropP,WaterConsu,SavedWater,TNC,Krat,Kitfox,Corridors,CPAD,SavedWat_1,TNC_Norm,Krat_Norm,Kitfox_Nor,Corridors_,CPAD_Norm,SavedWat_2,TNC_Total,Krat_Total,Kitfox_Tot,Corridor_1,CPAD_Total,geometry,outcome
10,Mixed Pasture,4.13613096,2715,Fresno,SW,alfalfa-pasture,15.91790489,1.181818182,18.81206942,77.81,4.70631093,19.47,0.0,0.0,0.0,3.353858293,3.530377151,0.917832983464489,0.0,0.0,0.0,0.810125975396957,0.852470429184087,3.796277419016641,0.0,0.0,0.0,3.350787128339551,3.525929334632788,"POLYGON Z ((-13374095.63281321 4378526.445909264 0, -13374173.1101741 4378523.972591881 0, -13374177.74565726 4378528.919362592 0, -13374177.08352089 4378743.281940342 0, -13374174.0802704 4378838.252967644 0, -13374090.99741087 4378836.448562468 0, -13374092.98393983 4378736.686139522 0, -13374095.63281321 4378526.445909264 0))",0.4300715646742555
11,Mixed Pasture,2.91677438,582,Kings,SW,alfalfa-pasture,15.91790489,1.181818182,18.81206942,54.87,4.699085771,13.71,0.0,0.0,1.588729793,2.888599624,0.0,0.916487631546909,0.0,0.0,0.596568808021911,0.989433574832422,0.0,2.673187643282905,0.0,0.0,1.74005661514545,2.885954501783021,0.0,"POLYGON Z ((-13343916.35727775 4351485.48547651 0, -13343912.38406022 4351321.009032918 0, -13344026.28261013 4351321.009076766 0, -13344030.17048252 4351472.75691011 0, -13344015.68734569 4351480.551131035 0, -13344000.45674055 4351483.018238581 0, -13343982.57724985 4351481.373420171 0, -13343960.06251691 4351480.551147934 0, -13343937.54778504 4351480.551133624 0, -13343926.2902847 4351483.018213102 0, -13343916.35727775 4351485.48547651 0))",0.41708166906687366
12,Mixed Pasture,7.52448747,24234,Fresno,SW,alfalfa-pasture,15.91790489,1.181818182,18.81206942,141.55,4.70631093,35.41,4.331779931,0.070626847,0.0,7.06268467,0.0,0.91757377711052,0.575291309331669,0.012241293091453,0.0,0.937767166290278,0.0,6.904272388668683,4.32877224866604,0.092109456483232,0.0,7.056217292528606,0.0,"POLYGON Z ((-13376387.22003295 4410913.404655325 0, -13376399.13977246 4410891.903568375 0, -13376405.76175102 4410891.903603001 0, -13376409.07275054 4410854.690144575 0, -13376366.02973644 4410860.478880322 0, -13376366.69189879 4410802.591552282 0, -13376363.38084885 4410793.494950769 0, -13376356.75884144 4410788.533205584 0, -13376347.48813747 4410788.53328801 0, -13376335.5684161 4410837.323832233 0, -13376329.60864665 4410838.977859381 0, -13376311.06705278 4410836.496865682 0, -13376287.22786719 4410830.708137307 0, -13376292.52534855 4410663.663386757 0, -13376295.17420191 4410659.528606582 0, -13376303.12060104 4410659.528575571 0, -13376375.30047291 4410696.741266135 0, -13376479.92820893 4410737.262022348 0, -13376491.18566693 4410743.877661286 0, -13376494.49676459 4410752.147195259 0, -13376495.15884337 4410970.465567086 0, -13376496.31070784 4411055.327117126 0, -13376489.19902625 4411061.432866999 0, -13376430.92529452 4411044.893302096 0, -13376428.93881356 4410995.274826589 0, -13376421.65461426 4410991.966924229 0, -13376364.04314938 4410976.254463534 0, -13376387.22003295 4410913.404655325 0))",0.4071455909706534
13,Mixed Pasture,25.00049932,3237,Kings,SW,alfalfa-pasture,15.91790489,1.181818182,18.81206942,470.31,4.699085771,117.48,24.52721175,0.0,12.07965178,0.0,0.0,0.916235775575542,0.980387690304713,0.0,0.529199068982067,0.0,0.0,22.90635188423601,24.510181784799354,0.0,13.230240964230791,0.0,0.0,"POLYGON Z ((-13319414.60012049 4359049.369403273 0, -13319410.62700787 4359057.599118321 0, -13319411.95140066 4359320.952142564 0, -13319413.27577884 4359342.34983413 0, -13319407.97822208 4359334.942792834 0, -13319404.66715072 4359319.306096734 0, -13319400.69393799 4359316.837064844 0, -13319391.42319763 4359311.076194533 0, -13319381.49022011 4359309.430180411 0, -13319362.28637442 4359304.492305491 0, -13319345.7312289 4359300.377375937 0, -13319327.18968461 4359291.324462667 0, -13319315.93228558 4359287.209554357 0, -13319299.37717464 4359290.501543496 0, -13319286.13322386 4359294.6164655 0, -13319268.91596378 4359296.262419424 0, -13319256.99634659 4359295.439407547 0, -13319239.77907346 4359292.147486279 0, -13319225.87285051 4359289.678638365 0, -13319211.30451591 4359285.563655512 0, -13319196.07387896 4359283.917595312 0, -13319188.78968139 4359283.917678598 0, -13319175.5456213 4359290.501620619 0, -13319160.31501634 4359303.66924277 0, -13319147.07097723 4359318.483054633 0, -13319125.21833636 4359335.765884965 0, -13319110.64994088 4359346.464662209 0, -13319092.77045345 4359352.225695074 0, -13319071.58009314 4359352.225693677 0, -13319013.3063792 4359343.17272054 0, -13319012.64415894 4359332.473904337 0, -13319012.6442601 4359148.12590411 0, -13319018.60408421 4359138.250210997 0, -13319020.59060659 4359134.958397179 0, -13319019.26623143 4359130.020555394 0, -13319012.64423835 4359127.551620038 0, -13319013.96866668 4358896.298572248 0, -13319015.29302262 4358888.069077137 0, -13319029.19925015 4358865.849402437 0, -13319043.10544179 4358856.79681044 0, -13319056.3494107 4358854.327944511 0, -13319072.2422471 4358855.973998387 0, -13319084.82407076 4358856.796916301 0, -13319099.39258439 4358860.088564181 0, -13319115.28531389 4358867.495295943 0, -13319141.11129133 4358883.131306839 0, -13319154.35519274 4358892.183818836 0, -13319199.38496188 4358907.820020058 0, -13319222.56190042 4358916.872501222 0, -13319243.75226252 4358920.164391027 0, -13319288.78193889 4358940.738291173 0, -13319344.40679065 4358980.24039751 0, -13319356.32653375 4358989.293062833 0, -13319373.54370907 4359004.929318937 0, -13319384.1389248 4359013.981930718 0, -13319405.99158361 4359028.795252579 0, -13319414.60012049 4359049.369403273 0))",0.404303755810387
14,Mixed Pasture,2.01536947,4746,Kings,SW,alfalfa-pasture,15.91790489,1.181818182,18.81206942,37.91,4.699085771,9.47,0.0,1.407834322,1.060446632,0.0,0.0,0.916193684620029,0.0,0.911027055296678,0.576298488927357,0.0,0.0,1.846468780590016,0.0,1.836056113588926,1.161454380191328,0.0,0.0,"POLYGON Z ((-13308036.8467821 4317609.000951186 0, -13308033.66824658 4317543.416322416 0, -13308228.6202335 4317544.728127839 0, -13308227.75485383 4317609.00095801 0, -13308036.8467821 4317609.000951186 0))",0.4005865381406774
15,Mixed Pasture,4.25655756,8086,Kings,SW,alfalfa-pasture,15.91790489,1.181818182,18.81206942,80.07,4.699085771,20.0,0.0,0.0,2.002595149,0.0,4.005190298,0.916143437950655,0.0,0.0,0.515285579009895,0.0,0.939760410236065,3.899617276853252,0.0,0.0,2.193342726893545,0.0,4.000144278779024,"POLYGON Z ((-13332764.73750776 4342618.581192461 0, -13332774.39917616 4342617.658922933 0, -13332793.47059998 4342618.973576323 0, -13332808.30392639 4342621.603143462 0, -13332831.61343006 4342626.862121562 0, -13332880.35135021 4342628.176781776 0, -13332948.1607314 4342628.176914016 0, -13332947.85932623 4342642.76251555 0, -13332946.42798234 4342712.031175848 0, -13332698.11364796 4342763.595903096 0, -13332695.99467491 4342670.248528294 0, -13332703.41118419 4342667.618990579 0, -13332719.30407206 4342666.304325903 0, -13332735.19691073 4342659.730650558 0, -13332738.37547093 4342645.268371588 0, -13332744.73253394 4342622.917854761 0, -13332760.62550653 4342618.973712102 0, -13332764.73750776 4342618.581192461 0))",0.39519823786610253
16,Mixed Pasture,2.09873287,30169,Fresno,SW,alfalfa-pasture,15.91790489,1.181818182,18.81206942,39.48,4.70631093,9.88,2.004870103,0.0,0.902191546,0.0,0.0,0.917892392263103,0.954613181745225,0.0,0.470820026959375,0.0,0.0,1.926410934765507,2.003478062663988,0.0,0.988125466433926,0.0,0.0,"POLYGON Z ((-13327887.59956343 4359072.045215839 0, -13327888.39420753 4358958.476153869 0, -13327986.13505269 4358959.463689684 0, -13328005.20647228 4358973.289393803 0, -13328002.0280153 4359064.144651992 0, -13327989.31364786 4359076.43440688 0, -13327887.59956343 4359072.045215839 0))",0.3905542668279505
17,Mixed Pasture,17.59764121,127,Kings,SW,alfalfa-pasture,15.91790489,1.181818182,18.81206942,331.05,4.699085771,82.69,0.0,0.0,6.882098008,16.51703522,0.0,0.916200497484161,0.0,0.0,0.428331223111954,0.937734222079628,0.0,16.122967631149773,0.0,0.0,7.53761918336463,16.50191039049575,0.0,"POLYGON Z ((-13343532.86935001 4349962.922742488 0, -13343532.75751316 4349954.800902571 0, -13343533.04640663 4349871.022217848 0, -13343534.08188968 4349570.806936601 0, -13343553.28575746 4349570.807029777 0, -13343568.51635137 4349570.806992933 0, -13343581.76030835 4349570.806888858 0, -13343591.69336898 4349570.806986584 0, -13343613.54600331 4349570.806944616 0, -13343636.06084492 4349568.340290794 0, -13343697.64550134 4349566.695749882 0, -13343710.22732346 4349566.695808306 0, -13343724.1336143 4349568.340277046 0, -13343738.03974902 4349571.62930661 0, -13343751.94601678 4349574.918194591 0, -13343767.17669308 4349577.384865027 0, -13343773.13643737 4349579.851640492 0, -13343774.46082418 4349586.429555811 0, -13343775.78514964 4349907.109103481 0, -13343702.2809696 4349907.109147927 0, -13343696.98343142 4349910.39826164 0, -13343696.98340356 4349921.087734808 0, -13343698.96991638 4349928.488225963 0, -13343707.57853453 4349932.599571605 0, -13343718.17379972 4349934.244106517 0, -13343781.08287707 4349933.42180647 0, -13343778.54733223 4350050.696450166 0, -13343722.14699306 4350049.362438441 0, -13343719.49814251 4349974.535289566 0, -13343712.87611764 4349973.71298682 0, -13343685.06367462 4349972.068521849 0, -13343683.0771114 4349980.291317465 0, -13343670.49522379 4349982.758062426 0, -13343668.50867077 4349990.158542675 0, -13343657.91353277 4349990.980786858 0, -13343658.57570638 4350049.362392771 0, -13343534.08194978 4350051.007034486 0, -13343532.86935001 4349962.922742488 0))",0.3803776571126239
18,Mixed Pasture,7.17883248,3391,Kings,SW,alfalfa-pasture,15.91790489,1.181818182,18.81206942,135.05,4.699085771,33.73,0.0,0.0,2.698110095,6.830658468999999,0.0,0.916124530797383,0.0,0.0,0.411641532960355,0.950628612586654,0.0,6.57670453741301,0.0,0.0,2.955105606932788,6.824403560454408,0.0,"POLYGON Z ((-13343536.06840297 4349307.692721311 0, -13343684.4015967 4349307.692809501 0, -13343689.03696154 4349370.181888528 0, -13343705.59199674 4349370.18187804 0, -13343775.12298544 4349369.35964817 0, -13343776.44742526 4349432.671214553 0, -13343704.26757793 4349431.84895307 0, -13343701.61876254 4349435.137999373 0, -13343702.2469016 4349544.34151755 0, -13343693.67230321 4349554.362116086 0, -13343535.40631731 4349557.651051799 0, -13343536.06840297 4349307.692721311 0))",0.3797324460573987
19,Mixed Pasture,2.45337204,531,Kings,SW,alfalfa-pasture,15.91790489,1.181818182,18.81206942,46.15,4.699085771,11.53,2.216635546,0.0,0.986402818,0.0,0.0,0.916342618833261,0.902878338290073,0.0,0.440356318110561,0.0,0.0,2.2481293601059,2.215096470682526,0.0,1.080357878489796,0.0,0.0,"POLYGON Z ((-13337755.77475623 4350033.352655516 0, -13337759.08577177 4350159.161914329 0, -13337725.97561376 4350163.273309433 0, -13337728.62457183 4350247.969142127 0, -13337676.89944711 4350259.47927083 0, -13337678.29730793 4350243.857789376 0, -13337670.35079761 4350037.464022066 0, -13337755.77475623 4350033.352655516 0))",0.3765962125389825
